,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
3903,2018.0,32350,1,1,11,4.0,1.0,200000.0,,4.0,2,40,2,26,"2,15",1,"12,8,1",1,1.0,,,,1.0,,,,,,,,,,,,1.0,,,32350,,,,,,,,,,,1,,,12,8,1,11.0,,,,,,,,,,,,,
3904,2018.0,37420,1,1,11,20.0,0.0,110000.0,,4.0,1,54,2,26,"1,6",7,"6,5",3,3.0,,,1.0,,,,,1.0,,,,,,,,,,,37420,,,,,,,,,,,7,,,6,5,,11.0,,,,,,,,,,,,,
3905,2018.0,37020,1,0,0,2.0,0.0,60000.0,,4.0,2,28,2,26,"1,2,5",6,"12,5,2",3,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,37020,,,,,,,,,,,6,,,12,5,2,,,,,,,,,,,,,,
3907,2018.0,38050,1,3,1,6.0,1.0,190000.0,,4.0,1,56,2,26,"1,2,6",1,"4,8,9",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,38050,,,,,,,,,,,1,,,4,8,9,1.0,1.0,1.0,,,,,,,,,,,
3908,2018.0,32060,1,2,1,3.0,1.0,150000.0,,4.0,1,36,5,26,"2,6,17",1,"5,8,14",1,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,32060,,,,,,,,,,,1,,,5,8,14,1.0,1.0,,,,,,,,,,,,
3909,2018.0,21310,1,0,0,2.0,0.0,50000.0,,4.0,1,50,5,26,15,1,"7,2",1,1.0,,,,,,,,,,,,,,,,1.0,,,21310,,,,,,,,,,,1,,,7,2,,,,,,,,,,,,,,,
3910,2018.0,11020,1,0,0,3.0,0.0,111133.00492610836,,4.0,2,47,11,26,"2,17",1,"5,9",4,4.0,,,,1.0,,,,,,,,,,,,,,1.0,11020,,,,,,,,,,,1,,,5,9,,,,,,,,,,,,,,,
3911,2018.0,21140,1,0,0,2.0,0.0,51219.51219512196,,4.0,1,57,11,26,6,1,"5,9,8",3,3.0,,,,,,,,1.0,,,,,,,,,,,21140,,,,,,,,,,,1,,,5,9,8,,,,,,,,,,,,,,
3912,2018.0,36030,1,1,11,4.0,0.0,50000.0,,5.0,2,70,6,26,"1,6",1,"4,14,5",1,1.0,,,1.0,,,,,1.0,,,,,,,,,,,36030,,,,,,,,,,,1,,,4,14,5,11.0,,,,,,,,,,,,,
3913,2018.0,38090,1,0,0,4.0,0.0,57647.058823529405,,4.0,2,44,7,26,"1,2,6,11",1,"1,11,2",3,3.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,38090,,,,,,,,,,,1,,,1,11,2,,,,,,,,,,,,,,
3914,2018.0,36400,1,1,1,4.0,2.0,71428.57142857142,,4.0,2,28,7,26,"1,2,6,9",1,"13,8,11",1,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,36400,,,,,,,,,,,1,,,13,8,11,1.0,,,,,,,,,,,,,
3915,2018.0,21070,1,2,11,1.0,,295081.9672131148,,4.0,2,23,12,26,"2,6,8",6,5,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,21070,,,,,,,,,,,6,,,5,,,11.0,11.0,,,,,,,,,,,,
3916,2018.0,99999,1,0,0,3.0,0.0,114580.64516129032,,4.0,1,52,12,26,2,1,5,1,1.0,,,,1.0,,,,,,,,,,,,,,,99999,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,
3917,2018.0,99999,1,0,0,2.0,0.0,154326.24113475176,,4.0,1,36,12,26,2,1,4,1,1.0,,,,1.0,,,,,,,,,,,,,,,99999,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,
3918,2018.0,37020,1,1,11,4.0,2.0,100000.0,,4.0,1,31,6,26,"2,4,6","1,6,7","2,13,9",1,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,37020,,,,,,,,,,,1,6,7,2,13,9,11.0,,,,,,,,,,,,,
3919,2018.0,32350,1,1,1,2.0,0.0,240000.0,,4.0,2,40,6,26,"1,2,6",1,"8,2",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,32350,,,,,,,,,,,1,,,8,2,,1.0,,,,,,,,,,,,,
3920,2018.0,21090,1,1,11,3.0,1.0,100000.0,,4.0,1,50,3,26,"1,2,6",2,"2,1,9",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,2,,,2,1,9,11.0,,,,,,,,,,,,,
3921,2018.0,32020,1,1,11,4.0,0.0,160000.0,,4.0,1,59,4,26,1,1,"3,2,4",1,1.0,,,1.0,,,,,,,,,,,,,,,,32020,,,,,,,,,,,1,,,3,2,4,11.0,,,,,,,,,,,,,
3922,2018.0,37020,1,1,11,10.0,0.0,100000.0,,4.0,2,29,4,26,"1,5",1,"3,4,12","1,2",1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,37020,,,,,,,,,,,1,,,3,4,12,11.0,,,,,,,,,,,,,
3923,2018.0,21310,1,0,0,4.0,0.0,50000.0,,4.0,1,46,3,26,"1,2",1,"8,2",1,1.0,,,1.0,1.0,,,,,,,,,,,,,,,21310,,,,,,,,,,,1,,,8,2,,,,,,,,,,,,,,,
3924,2018.0,37350,1,0,0,5.0,0.0,100000.0,,4.0,2,54,3,26,"2,6",1,"2,8",3,3.0,,,,1.0,,,,1.0,,,,,,,,,,,37350,,,,,,,,,,,1,,,2,8,,,,,,,,,,,,,,,
3925,2018.0,21050,1,1,11,2.0,0.0,75000.0,,4.0,1,19,3,26,"2,15,17",6,"8,7",3,3.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,21050,,,,,,,,,,,6,,,8,7,,11.0,,,,,,,,,,,,,
