,place_info,x,y,target
90,야북골못,129.253923098739,36.1593315236757,"힐링, 호캉스"
91,옥산1소류지,128.577262020422,34.8773429367366,"힐링, 호캉스"
92,새못,128.750394110449,35.6819784383201,"힐링, 호캉스"
93,갓골저수지,128.394763085918,35.5906963363332,"힐링, 호캉스"
94,새터골못,127.831727908465,36.9899623558039,"힐링, 호캉스"
95,새터못,128.192802390881,35.8161813303085,"힐링, 호캉스"
96,갈마지못,128.918467274214,36.0178379001695,"힐링, 호캉스"
97,소류지,128.382510567164,35.4001376641914,"힐링, 호캉스"
98,대벽소류지,128.00204627454,34.9079362233632,"힐링, 호캉스"
99,안못,129.178501469819,36.009505425191,"힐링, 호캉스"
100,방영골못,129.14919547621,35.409014859933,"힐링, 호캉스"
101,대리소류지,128.896583962406,36.2225248167638,"힐링, 호캉스"
102,은성소류지,127.582803088044,36.7426396906568,"힐링, 호캉스"
103,청산저수지,126.885167132217,34.201304526291,"힐링, 호캉스"
104,숭진소류지,128.818595546261,35.4616391814518,"힐링, 호캉스"
105,뒷밭못,128.572123561217,36.786773798299,"힐링, 호캉스"
106,범정소류지,127.750917003489,35.5359170408816,"힐링, 호캉스"
107,안내저수지,127.834110429398,35.2150425015742,"힐링, 호캉스"
108,농암저수지,127.683991349366,36.3735698446273,"힐링, 호캉스"
109,보대소류지,128.33644508428,35.031573120545,"힐링, 호캉스"
110,노이짓골소류지,128.087562378314,35.5281366173005,"힐링, 호캉스"
111,둥독못,128.749715988873,36.3631048354254,"힐링, 호캉스"
112,두남소류지,128.125476948197,35.0992792710511,"힐링, 호캉스"
113,유마사,127.171274102822,35.0182965116827,"축제, 관광"
114,안정사,128.395592697393,34.9439691600868,"축제, 관광"
115,옥천암,126.953944705531,37.5969867449578,"힐링, 호캉스"
116,염불암,126.93439104858,37.428729092038,"축제, 관광"
117,향엄사,127.807426724597,36.1842646050086,"힐링, 호캉스"
118,용연사,129.342674117774,36.0303183787146,"힐링, 호캉스"
119,용화사,128.303592863603,35.2600429312442,"힐링, 호캉스"
120,금강사,128.576747853045,35.2477123806759,"힐링, 호캉스"
121,청명사,126.380209011771,34.7870632355338,"힐링, 호캉스"
122,석가사,128.667640507683,35.8460371990103,"힐링, 호캉스"
123,만지못,128.15695528751,35.3830675820982,"힐링, 호캉스"
124,흥부암,128.869859195567,35.2263273615209,"힐링, 호캉스"
125,충의사,128.21283920207,36.4447214269108,"힐링, 호캉스"
126,덕흥사,126.541436450245,33.4613840023766,"힐링, 호캉스"
127,성불사,129.213452073145,35.8078490642503,"힐링, 호캉스"
128,삼봉사,127.284061950462,37.0115679147774,"힐링, 호캉스"
129,삼원사,129.212270412085,35.9604532954303,"힐링, 호캉스"
130,관음사,128.648903337679,36.8281474058956,"힐링, 호캉스"
131,지장사,129.072085475734,35.1300280398762,"힐링, 호캉스"
