,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
12477,2020,35320,1,0,,3,0,139998,46666,4,1,48,11,13,"1,2",1,"3,1,12",1
12478,2020,35020,1,0,,3,0,300000,100000,4,1,52,11,13,3,1,"4,11,1",3
12479,2020,35010,1,0,,2,0,100000,50000,4,2,26,11,13,"2,15",1,"5,4,11",1
12480,2020,"3,538,035,380",2,0,,4,0,192000,48000,4,2,62,11,13,"1,2,6",1,"2,4,1",1
12481,2020,35010,1,0,,3,0,100002,33334,4,1,24,11,13,15,"6,10","1,11,4",3
12482,2020,35310,1,0,,3,1,50001,16667,4,2,45,11,13,1,1,"1,14,4",1
12484,2020,35380,1,0,,4,0,100000,25000,4,2,19,7,13,1,6,"12,2",1
12485,2020,35340,1,1,10,4,1,290000,72500,4,1,46,7,13,"1,2",1,"2,12,14",1
12486,2020,"3,431,034,310",2,1,3,2,0,164800,126700,5,1,32,8,13,"1,2,6,7",1,"14,2,12",3
12487,2020,"3,631,036,310",2,1,3,8,1,133000,133000,5,1,47,8,13,"1,2,6",1,"1,2,8",1
12488,2020,"3,646,036,460",2,1,12,2,0,121500,121500,5,1,27,8,13,"1,2,6",1,"14,3,2",3
12489,2020,35380,1,0,,6,0,37500,37500,5,1,58,8,13,"1,2,6",1,"4,8,7",3
12490,2020,35380,1,0,,8,0,25800,25800,5,2,36,8,13,"1,2,6",1,"2,8,4",3
12491,2020,35020,1,0,,4,0,43300,43300,4,2,59,8,13,"1,2,6",1,"4,2,8",3
12492,2020,35060,1,0,,4,0,46000,46000,4,1,65,8,13,"1,2,6",1,"2,8,5",3
12493,2020,35020,1,0,,5,0,22000,22000,4,2,72,8,13,"1,2,6",1,"8,12,1",1
12494,2020,"3,702,037,020,370,200,000,000,000",5,1,1,2,0,410500,205250,5,1,57,12,13,"1,2,4,5,6,8,9",1,"11,1,2",1
12495,2020,35350,1,0,,4,2,107000,26750,5,2,48,12,13,"1,2,6",1,"13,4",1
