,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
1,2020,"2,331,023,310",2,1,3,2,0,439000,219500,4,1,28,1,1,"1,2,6",1,"9,5,14",3
2,2020,31160,1,0,,4,0,70002,23334,4,1,57,2,1,"1,6",1,"2,4,11",3
3,2020,31110,1,0,,3,0,74500,26500,4,2,19,2,1,5,"5,2","12,5,9",3
4,2020,"2,308,031,270",2,"0,0",,2,0,100000,50000,4,2,36,2,1,"1,2,6",1,"9,5,1",3
5,2020,"3,240,032,390",2,1,11,4,0,400000,100000,4,1,26,2,1,"1,2,6",1,"12,6,5",3
6,2020,"39,010,390,103,901,000,000",4,2,"4,4",2,0,794000,681500,4,2,27,1,1,"1,2,4,6","3,10","6,1,14",3
7,2020,"383,603,836,038,360",3,2,"3,3",4,0,1101000,303750,5,2,52,1,1,"1,4,6",1,"2,1,11",1
9,2020,31130,1,0,,3,0,37000,37000,5,1,49,3,1,"1,2","5,6,2","11,5,9",3
10,2020,31370,1,0,,4,0,124000,86500,5,1,27,3,1,"1,2,6",1,"14,2,4",4
12,2020,35330,1,1,3,5,0,272500,160500,5,2,50,4,1,"1,2","5,2,10","14,11,1",3
13,2020,31370,1,0,,3,0,219000,73000,5,1,63,4,1,"1,2",1,"3,5,4",1
14,2020,"350,203,502,035,020",3,2,"10,10",3,0,544999,390333,4,1,27,4,1,"1,2","2,4,10","11,2,8",3
15,2020,"3,405,034,050",2,1,3,3,0,362998,193666,4,1,49,4,1,"1,2,4,6",1,"14,9,11",1
16,2020,31370,1,0,,2,0,91000,91000,5,1,63,5,1,"2,5,11",1,"4,9,14",1
17,2020,"3,338,033,380",2,1,3,4,0,110000,110000,4,2,49,5,1,"1,2,6","5,7","3,5,14",3
18,2020,31130,1,0,,2,0,78000,60500,4,1,28,5,1,"1,2",1,"14,3,1",3
19,2020,"3,138,031,380",2,1,3,5,0,325000,149000,5,2,63,5,1,"1,2,6",1,"5,3,9",3
20,2020,"320,303,203,032,030",3,1,4,4,0,392000,380000,4,1,28,6,1,"1,2,4,6,8","6,5,2","1,6,2",3
21,2020,"3,137,031,370",2,0,,7,0,68000,68000,4,1,19,6,1,"1,2","5,2","1,11,4",3
22,2020,31270,1,0,,2,0,79000,49000,5,2,34,6,1,"1,2",1,"5,9,11",3
23,2020,"3,702,037,020,370,200,000,000,000",5,2,"4,4",2,0,533000,408000,4,1,27,6,1,"1,2,4,6,9","2,10,5","12,4,2",3
24,2020,31110,1,0,,4,0,31000,31000,4,2,19,6,1,"1,9","5,2","2,9,3",3
25,2020,"32,030,320,303,203,000,000",4,2,"1,1",4,0,650000,327500,5,2,45,7,1,"1,2,6,8",1,"14,1,2",1
26,2020,"3,403,034,030",2,1,4,4,0,331000,158500,4,2,34,7,1,"1,2,6,9",1,"4,5,6",3
27,2020,31240,1,1,10,3,0,312002,150667,4,1,27,7,1,"1,2",8,"5,2,9",3
30,2020,"364,603,646,036,460",3,2,3,2,0,515000,394500,5,2,29,8,1,"1,2,4,6","2,4","1,2,8",3
31,2020,"3,636,036,360",2,1,4,3,0,480000,240000,5,2,34,8,1,"1,2,6",1,"1,14,11",3
32,2020,31370,1,0,,4,0,134000,84000,4,1,29,8,1,"1,2",8,"2,5,1",3
33,2020,31200,1,0,,4,0,60000,48750,3,2,28,2,1,"1,2","5,10,2","11,2,8",3
34,2020,"3,127,031,280",2,"0,0",,4,0,165000,41250,4,2,56,2,1,"2,6,7",1,"9,1,4",3
35,2020,31260,1,0,,3,0,110001,36667,4,2,63,2,1,"1,2,6",1,"4,1",3
36,2020,31370,1,0,,1,,70000,70000,4,1,38,2,1,1,1,"5,1",
37,2020,31110,1,0,,4,0,150000,37500,4,2,36,9,1,"1,2","5,2","2,4,11",3
38,2020,"3,201,032,010",2,1,11,4,0,360000,90000,4,2,27,9,1,"1,2,6",1,"4,1,6",3
39,2020,32010,1,0,,2,0,152000,76000,4,1,36,10,1,"1,2,6",1,"2,4,8",3
40,2020,"3,206,032,060",2,1,4,4,0,628000,157000,4,2,35,10,1,"2,3,6",1,"6,2,11",3
43,2020,"3,839,038,390",2,1,10,4,2,618000,154500,4,2,38,3,1,"1,2,6,7",1,"1,2,11",1
44,2020,31130,1,0,,2,0,50000,25000,4,1,42,3,1,"2,6",6,"2,4,5",1
45,2020,31200,1,0,,3,0,519999,173333,4,2,27,11,1,"2,6",1,"7,11,4",3
46,2020,31260,1,0,,2,0,75000,37500,4,1,57,11,1,"1,2",1,"4,11,1",3
47,2020,31270,1,0,,2,0,150000,60000,4,1,48,11,1,"1,2,6",1,"11,8,4",3
48,2020,31210,1,0,,2,0,490000,245000,4,2,37,11,1,"1,2,8",1,"4,7,8",3
49,2020,31210,1,0,,2,0,267000,133500,4,1,37,12,1,"1,6,8",1,"4,8,7",3
50,2020,23310,1,0,,2,0,235000,117500,4,2,35,12,1,"1,2,6",1,"1,8,2",3
51,2020,"3,113,032,010",2,"0,1",1,8,0,175000,175000,4,1,36,1,1,"1,6",1,"2,5,1",3
52,2020,"3,203,032,030",2,1,1,5,0,195000,195000,4,1,62,1,1,"2,6",1,"2,1,5",3
53,2020,"2,109,021,010",2,1,1,2,0,270000,270000,4,2,28,1,1,"1,6",1,"8,1,2",1
54,2020,"3,113,031,130",2,1,3,4,2,602000,150500,4,1,45,4,1,"1,2,6",1,"2,4,11",1
55,2020,"3,137,031,260",2,1,3,5,2,652000,130400,4,1,38,4,1,"1,2,6",1,"4,1,2","1,2"
56,2020,"3,703,037,030",2,1,4,4,2,650000,162500,4,2,44,4,1,"1,2,6,8",1,"1,2,5",1
57,2020,32010,1,0,,3,0,156003,52001,4,1,53,4,1,"1,2,6",1,"2,12,8",1
59,2020,"3,206,032,060",2,1,4,5,1,875000,175000,4,1,17,5,1,"1,2,6",1,"2,1,8","1,2"
60,2020,31370,1,0,,4,1,185000,44750,4,2,54,5,1,"1,2,6",1,"2,5,4",1
62,2020,31130,1,0,,4,2,178000,44500,4,2,46,5,1,"1,2,6",1,"8,4,2",1
64,2020,31010,1,0,,4,0,198000,49500,4,1,53,5,1,"1,2,6",1,"2,4,3","1,2"
65,2020,"3,202,032,020",2,1,3,3,1,459999,153333,4,2,45,2,1,1,1,"12,5",1
66,2020,31190,1,0,,4,0,71000,71000,4,1,18,2,1,5,6,"2,4",3
67,2020,31370,1,0,,2,0,100000,50000,4,1,46,2,1,1,1,"1,5",1
68,2020,34370,1,0,,2,0,124000,62000,4,2,52,2,1,7,1,"4,3",1
69,2020,31380,1,0,,2,0,70000,35000,4,1,45,3,1,1,1,"4,2",1
70,2020,31100,1,0,,2,0,90000,45000,4,2,42,3,1,"1,2",1,"8,4",1
71,2020,31120,1,0,,2,0,60000,30000,4,2,36,3,1,1,1,"4,2",1
72,2020,31370,1,0,,2,0,90000,30000,4,1,37,3,1,"1,6",1,1,3
73,2020,31380,1,0,,3,1,144999,48333,4,2,45,4,1,"1,2,6",1,"4,2",1
74,2020,31130,1,0,,2,0,100000,50000,5,2,29,4,1,"1,2",1,"4,8",3
75,2020,"3,206,032,060",2,1,3,5,0,200000,140000,5,2,61,4,1,"1,4,6",1,"1,12",3
76,2020,"3,137,031,370",2,0,,2,0,122000,61000,4,2,34,4,1,"1,6",1,"4,2",1
77,2020,"3,702,037,020",2,1,8,3,1,654999,218333,5,1,48,6,1,"1,2,4",1,"2,13",1
78,2020,31270,1,0,,3,1,114999,38333,5,2,38,6,1,1,1,2,1
79,2020,31280,1,0,,3,1,144999,48333,5,2,42,6,1,"1,2",1,"3,2",1
80,2020,"3,501,035,010",2,1,8,4,0,243000,233000,4,2,28,6,1,"1,2,4",1,"1,2,8",3
81,2020,"3,241,032,390",2,1,3,4,0,245000,185000,5,2,56,6,1,"1,2,4",1,"2,1",3
82,2020,"3,206,032,060",2,1,3,3,1,533001,177667,5,2,43,5,1,"1,2",1,"2,4,1",1
83,2020,23310,1,0,,2,0,150000,75000,5,1,36,5,1,"1,2,6",1,"2,4",3
84,2020,31270,1,0,,3,1,194001,64667,5,2,38,5,1,"1,2",1,"2,1",1
85,2020,"3,602,036,020",2,1,1,3,0,275000,275000,5,2,63,5,1,"1,2,4","2,10,6","5,2",3
86,2020,31370,1,0,,2,0,110000,55000,5,2,28,5,1,1,1,"4,2",3
87,2020,23010,1,0,,3,0,238001,112667,4,2,45,7,1,"6,8",1,"3,7,4",1
88,2020,"3,206,032,060",2,2,7,6,0,452000,148500,5,2,63,7,1,"1,2,4,6",1,"6,2","1,2"
89,2020,34030,1,1,10,4,0,145000,135000,5,2,28,7,1,"1,6",1,"2,3,1",3
90,2020,"3,438,034,380",2,1,3,5,1,441000,174250,4,2,38,7,1,"1,2,6",1,"5,1,2","1,2"
91,2020,32010,1,0,,3,1,291999,97333,5,1,43,7,1,"1,3",1,"4,10",1
92,2020,"3,438,034,380",2,1,3,4,0,490000,225000,4,1,37,8,1,"1,2,6",1,"2,6",3
93,2020,"3,303,033,030",2,1,3,4,0,396000,198000,5,2,61,8,1,"1,6",1,"4,1","1,2"
94,2020,"3,206,032,060",2,1,3,6,0,513998,230333,5,2,55,8,1,"1,6",1,"14,4,2","1,2"
95,2020,"3,137,031,370",2,1,3,6,0,130000,115000,5,1,47,8,1,"1,6",1,"4,2,1","1,2"
96,2020,35020,1,1,2,2,0,430000,215000,5,2,38,8,1,"1,3,6",1,"1,5,2",1
97,2020,"3,533,035,330",2,1,3,4,0,200000,190000,5,1,28,8,1,"3,6",1,"2,10",3
98,2020,31270,1,0,,2,0,149000,74500,5,2,28,6,1,1,1,"4,2",3
99,2020,34050,1,0,,2,0,142000,71000,4,1,37,6,1,"1,2",1,"2,4",3
100,2020,31130,1,0,,3,1,150000,50000,5,2,36,6,1,"1,2,6",1,"4,1,2",1
101,2020,31210,1,0,,3,1,183000,61000,5,1,43,6,1,1,1,"4,2",1
102,2020,23310,1,0,,2,0,100000,50000,5,2,57,6,1,"1,4",1,"2,1",1
103,2020,23010,1,0,,4,0,122000,61000,4,1,19,7,1,"1,6",1,"4,2",3
104,2020,"353,303,533,035,330",3,2,"3,3",2,0,402000,201000,5,1,36,7,1,"1,2,6",1,"1,2",3
105,2020,23310,1,0,,3,1,255000,85000,5,2,38,7,1,"1,2,4",1,"4,1",1
106,2020,31380,1,0,,2,0,144000,74000,5,2,29,7,1,"1,2,6",1,"2,1",3
107,2020,31370,1,1,11,3,1,500001,166667,5,1,42,7,1,"1,2,3,6",1,"5,4,2",1
108,2020,"323,403,201,032,010",3,1,8,4,0,489000,122250,5,2,57,7,1,"1,4",1,"2,1","1,2"
109,2020,"360,203,602,036,020",3,1,1,3,1,680004,226668,5,2,38,9,1,"1,2,4",1,"1,2,8",1
110,2020,32010,1,0,,4,0,109000,109000,5,2,28,9,1,"1,3","1,4","2,4",3
111,2020,31130,1,0,,3,1,140001,46667,5,2,45,9,1,"2,6",1,"3,2,1",1
112,2020,"380,503,805,038,050",3,1,4,2,0,510000,255000,5,1,37,9,1,"1,3",1,"2,5",3
113,2020,31200,1,0,,4,0,65000,45000,5,2,57,9,1,"1,2,6",1,"4,2",3
114,2020,"3,603,036,020",2,1,2,6,0,482002,207667,5,1,56,8,1,"1,6",1,"1,2,8","1,2"
115,2020,33030,1,1,11,2,0,422000,211000,5,1,36,8,1,1,1,"2,1",3
116,2020,"313,803,138,031,380",3,1,3,6,0,200000,90000,5,2,63,8,1,1,1,"2,1,4","1,2"
117,2020,32010,1,0,,4,0,222000,111000,5,2,29,8,1,"1,3",1,"4,2",3
118,2020,31100,1,0,,4,0,130000,32500,4,2,54,8,1,6,1,"3,4",3
119,2020,34030,1,1,8,4,0,170000,160000,4,1,27,8,1,"1,6",1,"4,2,1",3
120,2020,31020,1,0,,2,0,160000,80000,5,1,27,9,1,"1,4,6",1,"4,2",3
121,2020,"32,030,320,303,203,000,000",4,1,4,4,0,190000,150000,5,2,28,9,1,"1,6,16",1,"2,1",3
122,2020,31370,1,0,,3,1,150000,50000,5,2,36,9,1,"1,6",1,"2,4,1",1
123,2020,31380,1,0,,2,0,130000,65000,4,1,38,9,1,"1,2",1,"1,4",1
124,2020,31130,1,0,,3,0,150000,50000,5,2,58,9,1,"1,2,6",1,"2,8,4",1
125,2020,"3,239,032,060",2,1,8,2,0,410000,205000,5,1,36,10,1,"1,2,4",1,2,3
126,2020,31120,1,0,,4,0,50000,50000,4,2,56,10,1,1,1,"4,2",3
127,2020,"370,103,701,037,010",3,1,3,4,0,440000,187500,5,2,38,10,1,"1,2",1,"5,2,1",1
128,2020,31270,1,0,,2,0,200000,100000,5,2,28,10,1,1,1,"2,1",3
129,2020,"3,437,034,370",2,0,,3,1,265002,88334,5,1,44,10,1,"1,2,6",1,"4,1,2",1
130,2020,32010,1,0,,4,0,193000,96500,5,1,27,10,1,"1,3,6",1,"2,4",3
131,2020,"3,438,034,380",2,1,3,6,2,500001,166667,5,2,43,10,1,"1,6",1,"2,4,6","1,2"
132,2020,31380,1,0,,4,0,144000,72000,4,1,36,10,1,1,1,"4,2",3
133,2020,"3,203,032,030",2,1,3,4,0,502000,223500,5,1,27,10,1,"1,2",1,"2,1,6",3
134,2020,23310,1,0,,2,0,120000,60000,5,2,29,10,1,1,1,"2,4",3
135,2020,"3,901,039,020",2,1,3,6,1,430000,280000,5,2,55,10,1,"1,2,6","3,5,8","2,1","1,2"
136,2020,"3,206,032,410",2,1,3,2,0,398000,187000,5,1,36,11,1,"1,2,4",1,"2,1,6",3
137,2020,31370,1,0,,4,0,354999,92083,4,2,47,11,1,"1,6",1,"4,2",1
138,2020,"3,138,031,380",2,0,,4,1,305000,76250,5,2,37,11,1,"1,2,5",1,"2,4,1",1
139,2020,"3,641,036,410",2,1,11,3,1,420000,140000,5,1,43,11,1,"1,2,6",1,"1,2,8",1
140,2020,"38,050,380,503,805,000,000",4,1,3,4,0,305000,235000,5,2,56,11,1,"1,2",1,"1,2",3
141,2020,"3,110,031,100",2,0,,2,0,180000,72000,5,2,28,11,1,"1,2,6",1,"2,1,4",3
143,2020,23310,1,1,9,3,1,425004,161668,4,2,37,1,1,"1,2,6,7",1,"1,3,4",1
144,2020,32030,1,1,3,4,0,590000,222500,5,2,60,1,1,1,"2,5,3","2,9","1,3"
145,2020,"343,803,438,034,380",3,1,3,4,0,590000,147500,5,1,32,2,1,"1,2",1,"2,3,5",3
146,2020,"3,901,039,020,390,200,000,000,000,000,000,000,000,000",8,2,"3,4",4,0,1192000,298000,5,2,53,2,1,"1,2,5","3,1,8","1,2,9",1
147,2020,"34,080,340,803,408,000,000",4,1,3,4,0,495000,123750,4,2,52,2,1,"1,2,9",1,"2,4,5",1
148,2020,"250,402,504,025,020",3,1,1,2,0,250000,125000,4,2,19,2,1,"2,5","6,10","1,4",3
149,2020,"2,109,021,090,210,900,000,000,000,000,000,000,000,000",8,2,"1,1",3,1,590001,196667,5,2,37,2,1,"1,2,15",1,"2,1",1
150,2020,"233,102,331,023,310",3,1,3,4,0,500000,125000,5,2,60,3,1,"1,4",1,"2,1,14",1
152,2020,39020,1,1,1,4,1,560000,190000,4,1,17,3,1,"1,2,6","1,3","1,2,4",1
153,2020,"364,003,640,036,400,000,000,000,000,000",6,2,"3,3",2,0,390000,195000,5,1,61,3,1,"1,2,6",1,"2,14,11",1
154,2020,31270,1,1,1,3,0,247999,99333,4,2,63,4,1,"1,2,6",1,"15,5,3",3
155,2020,31380,1,0,,3,0,135000,67500,4,1,26,4,1,"1,2,6",1,"4,2,5",3
156,2020,31370,1,1,3,5,0,481000,105000,4,2,19,4,1,1,"5,2","5,4,9",3
157,2020,"34,380,343,803,438,000,000",4,1,3,4,0,510000,135000,5,2,52,4,1,"1,2,5",1,"2,4,12",1
158,2020,"340,303,403,034,030",3,1,3,6,1,599994,99999,4,1,61,4,1,"1,2",1,"11,2",1
159,2020,"3,206,032,060",2,1,4,4,0,810000,202500,5,2,57,5,1,"1,6",1,"5,4,1",1
160,2020,31370,1,1,3,2,0,195000,97500,4,1,27,5,1,"1,2",1,"5,9,4",3
161,2020,"3,538,035,380",2,1,3,5,0,598000,119600,5,1,59,5,1,"1,2",1,"2,1",1
162,2020,"3,901,039,010,390,100,000,000,000,000,000,000,000,000",8,2,"1,3",5,0,1430000,398000,5,2,50,6,1,"1,2,5","8,3,1","8,12,2",1
163,2020,"380,503,805,037,030",3,2,"9,10",2,0,718000,384000,4,1,38,6,1,"1,2,6,7","1,4","2,8,1",1
164,2020,31380,1,0,,3,1,129999,58333,4,2,36,6,1,"1,2,6",1,"9,5,3",1
165,2020,"3,138,031,380",2,1,3,3,0,283997,123999,4,2,19,5,1,"1,2,6","5,6,2","4,2,1",3
166,2020,31200,1,0,,2,0,88000,44000,4,2,32,6,1,"1,2,6",1,"2,11,8",3
167,2020,23310,1,0,,2,0,138000,69000,4,1,40,6,1,"1,2,15",1,"2,4,5",1
168,2020,31370,1,1,3,4,0,330000,82500,4,1,25,6,1,"1,2,5,15",1,"5,4,3",3
169,2020,"390,203,901,039,010",3,2,"1,1",2,0,892800,401400,4,2,32,6,1,"1,2,4,6,9","8,3,4","2,1,11",3
170,2020,32030,1,1,4,6,0,790000,765000,5,1,52,7,1,"1,3",1,"8,6",5
171,2020,"3,101,031,010",2,0,,2,0,100000,50000,5,2,52,7,1,"2,4",1,"4,2",1
172,2020,"3,138,031,380",2,0,,3,1,144999,48333,5,2,45,7,1,1,1,"3,2",1
173,2020,"2,301,023,010",2,0,,4,0,150000,37500,5,1,61,7,1,"1,2",1,"9,5",1
174,2020,31370,1,1,9,5,0,574000,118000,4,1,19,7,1,"1,2,6","5,6","3,2,4",3
175,2020,32030,1,1,4,4,0,890000,225000,4,2,52,7,1,"1,2,6",1,"2,12,1",1
177,2020,"320,303,203,032,030",3,2,"4,4",3,0,648998,385666,4,2,27,8,1,"1,2,6",1,"2,12,1",3
178,2020,34030,1,1,3,2,0,333000,200500,5,2,35,8,1,"1,2,6",1,"1,4,5",1
179,2020,"3,538,035,380",2,1,4,3,0,472001,250667,5,1,47,8,1,"1,2,6",1,"2,6,9",3
180,2020,32020,1,0,,4,0,79000,79000,5,2,46,8,1,"1,2",1,"1,2,5",3
181,2020,"3,101,031,010",2,0,,2,0,138000,69000,5,2,52,9,1,"1,2,4",1,"4,2",1
182,2020,"320,503,205,032,050",3,0,,3,1,148499,51833,5,2,43,9,1,1,9,"9,2",1
183,2020,"3,201,032,010",2,0,,2,0,125000,62500,4,1,44,9,1,"1,2",1,"5,12",3
184,2020,"3,241,032,410",2,1,4,4,0,532000,292000,4,1,27,8,1,"1,2,6",8,"2,1,11",3
185,2020,31170,1,0,,3,0,48000,28000,4,2,35,8,1,"1,2,6",1,"4,5,1",1
187,2020,"363,103,631,036,310",3,0,,2,0,128000,78000,4,2,56,8,1,"1,2,6,15",1,"4,5,14",1
188,2020,"3,403,034,030",2,1,1,4,0,275001,201667,4,2,28,8,1,"1,2,6","2,10,5","2,6,11",3
189,2020,31090,1,0,,2,0,126000,63000,5,1,35,9,1,"1,2",1,"2,4,5",1
190,2020,"373,503,735,037,350",3,1,3,4,1,320000,80000,5,1,46,9,1,"1,2",1,"11,2",1
191,2020,"3,137,031,370",2,1,3,2,0,219000,109500,4,1,26,10,1,"1,6",8,"4,3",3
192,2020,"33,030,330,303,303,000,000",4,1,4,5,0,473000,106600,4,1,49,10,1,"1,4,5",1,"2,3",1
193,2020,31370,1,1,6,2,0,220000,110000,5,1,27,10,1,6,1,"9,12,5",3
194,2020,23010,1,0,,2,0,146000,73000,5,2,26,10,1,"1,2",1,4,3
195,2020,"324,003,240,032,400",3,1,3,3,1,351000,117000,5,2,36,10,1,"1,16",1,"2,1",1
196,2020,31100,1,0,,2,0,47000,23500,4,1,27,11,1,"1,2","5,2","8,2",3
197,2020,31380,1,0,,2,0,56000,28000,4,2,28,11,1,"1,2",1,"4,5,8",3
198,2020,21090,1,1,3,2,0,532000,291000,4,2,25,12,1,"1,2,6",1,"8,6,5",3
201,2020,31190,1,0,,4,0,69000,69000,4,2,19,1,1,"2,3,9","6,2","10,3,4",3
202,2020,32010,1,0,,3,0,93000,31000,4,2,55,1,1,"2,4,12","5,2","3,2,12",3
203,2020,31020,1,1,6,4,0,620000,215000,4,1,46,1,1,"1,6",1,"4,3",3
204,2020,31130,1,0,,3,1,71001,23667,4,2,35,2,1,"1,2",1,"3,8,4",1
205,2020,"2,109,021,140",2,1,1,2,0,870000,435000,4,1,28,2,1,"1,2,6",1,"6,12,2",3
206,2020,"3,901,039,010",2,2,3,4,0,815001,207917,4,2,46,2,1,"1,2,6","3,8","8,6,12",1
207,2020,31380,1,0,,2,0,99000,49500,4,2,55,2,1,"1,2",1,"8,12",1
208,2020,"2,104,021,010",2,1,4,3,0,429999,143333,4,2,60,3,1,"1,2",1,"11,12,1",1
209,2020,"3,110,037,020",2,"0,1",4,4,1,420000,105000,4,1,46,3,1,"1,9",1,"8,5,9",1
210,2020,32340,1,0,,2,0,252000,126000,4,1,60,3,1,1,1,4,1
211,2020,23010,1,0,,4,0,200000,50000,4,1,50,3,1,"1,6",1,8,1
212,2020,32060,1,0,,4,0,300000,75000,4,2,46,3,1,1,1,"12,5",1
213,2020,34030,1,1,8,2,0,300000,150000,4,2,30,3,1,"1,6",1,"9,12,6",1
214,2020,31380,1,0,,2,0,150000,75000,4,1,48,4,1,"1,6",1,"8,5,9",1
215,2020,31380,1,0,,2,0,100000,50000,4,1,66,5,1,"1,2,6",1,"4,9,3",1
216,2020,31130,1,0,,2,0,150000,75000,4,2,66,5,1,1,1,"9,3,4",1
217,2020,31260,1,0,,4,0,300000,75000,4,2,54,5,1,"1,2",1,"3,12",1
218,2020,31370,1,0,,3,0,200001,71667,4,2,47,6,1,"1,2",1,"5,1,2",1
220,2020,"3,902,039,020",2,1,1,3,0,910002,303334,4,1,55,7,1,"1,2,6,8","8,3","8,6,2",1
221,2020,31260,1,0,,4,0,114999,78333,4,2,61,7,1,"1,2",1,"8,2",3
222,2020,31380,1,0,,2,0,92000,46000,4,2,37,7,1,"1,2",1,"1,4,8",1
223,2020,32010,1,0,,2,0,62000,31000,4,2,63,8,1,"1,2,6",1,"2,9",1
224,2020,"3,338,033,380",2,1,3,6,0,1060998,211833,4,2,26,8,1,"1,2,5",1,"12,1,14",3
225,2020,31130,1,0,,2,0,89500,44750,4,1,35,8,1,"1,6",1,"8,1",3
226,2020,33320,1,0,,2,0,164000,82000,4,1,70,8,1,"1,2,4,6",1,"2,12",1
227,2020,23010,1,0,,3,0,144501,48167,4,2,71,8,1,"1,2",1,"1,11,12",1
228,2020,32010,1,0,,4,0,177000,44250,4,2,53,8,1,"1,2",1,"5,2,8",3
229,2020,31370,1,1,3,7,2,311997,75321,4,1,41,8,1,"1,2,6",1,"5,8,2","1,2"
230,2020,32010,1,0,,4,0,202000,50500,4,1,53,9,1,"1,2",1,"2,3,8","1,3"
231,2020,31270,1,0,,2,0,133000,66500,4,2,34,10,1,"1,2",1,"1,5,8",3
232,2020,31370,1,0,,4,2,123000,34250,4,2,35,11,1,"1,2,6,8",1,"2,14,5",1
233,2020,"3,125,031,250",2,0,,2,0,136000,68000,4,1,23,11,1,"1,5,6,15",1,"1,5,2",3
234,2020,31080,1,0,,2,0,67400,33700,4,1,41,11,1,"1,2,6","5,2","2,3,14",3
235,2020,31270,1,0,,3,0,109500,36500,4,2,61,11,1,"1,2,6",1,"2,11,3",3
238,2020,31130,1,0,,2,0,111000,55500,4,2,54,12,1,"1,2,12",1,"10,14,5",1
239,2020,"3,113,031,010",2,"0,0",,4,2,77000,19250,3,2,33,12,1,"1,2,5",1,"14,2,13",1
240,2020,31260,1,0,,3,0,90999,30333,4,2,24,12,1,"1,2,6",1,"2,3,1",3
241,2020,31130,1,0,,2,0,86000,43000,4,1,61,12,1,"1,2,6",6,"2,3,5",1
242,2020,32030,1,1,4,4,0,990000,247500,5,1,62,12,1,"1,2,6",1,"2,5",1
243,2020,"320,703,207,032,070",3,1,4,5,2,720000,144000,5,1,49,12,1,"1,5",1,"1,2",1
244,2020,31380,1,0,,2,0,97000,48500,5,2,29,12,1,12,1,"5,10",3
245,2020,39020,1,1,1,3,0,621000,207000,4,1,44,1,1,1,"1,3","1,12",3
247,2020,34340,1,1,12,4,1,150000,37500,3,1,45,1,1,"1,2",1,6,1
248,2020,"3,137,025,020",2,"1,1","4,12",2,0,180000,90000,4,2,37,1,1,"1,6","1,2","1,6,2",1
249,2020,34020,1,3,12,1,,200000,200000,4,1,35,1,1,6,1,"8,3,4",
250,2020,32410,1,1,3,2,0,100000,75000,4,2,28,1,1,1,1,"5,3,2",3
251,2020,25040,1,1,12,4,0,200000,50000,4,2,48,1,1,7,1,"6,9,4",1
252,2020,31380,1,0,,2,0,100000,50000,4,2,33,2,1,"1,2",1,"9,5,4",3
253,2020,32390,1,0,,4,0,200000,55000,4,1,56,2,1,"1,2",1,"5,3",1
254,2020,31380,1,0,,2,0,100000,50000,4,2,66,3,1,1,1,9,1
255,2020,32060,1,0,,4,0,200000,50000,4,1,56,3,1,1,1,"5,9,8",1
256,2020,31060,1,0,,2,0,200000,100000,4,2,28,2,1,"1,2",1,"3,5",3
257,2020,25040,1,1,5,2,0,230000,115000,4,2,41,2,1,"1,2,7",1,3,1
258,2020,31130,1,0,,4,0,152000,39000,4,1,19,4,1,"1,2",1,"8,3,4",1
259,2020,"3,901,039,020",2,1,3,3,0,924999,308333,4,2,63,4,1,"2,6","8,4,3","2,1,12",1
260,2020,31090,1,0,,4,0,246000,61500,4,2,55,5,1,"1,2",1,"10,8,2",3
261,2020,"3,901,039,010",2,1,3,4,0,935000,302500,4,2,64,5,1,"1,2,3,6,15","8,3,4","6,2,8","1,3"
262,2020,31370,1,0,,2,0,86000,43000,4,1,30,5,1,"1,2",1,"8,5,1",3
263,2020,34080,1,0,,2,0,56500,56500,4,2,27,3,1,"1,2,6",2,"4,5,8",3
265,2020,"390,203,902,039,020",3,2,"3,3",2,0,820000,410000,4,1,41,6,1,"1,2,5","3,10","12,3,4",1
266,2020,23010,1,0,,3,0,199998,66666,4,2,61,6,1,1,1,"8,3,5",1
268,2020,32410,1,0,,3,0,300000,100000,4,1,31,6,1,2,1,"9,4",3
269,2020,32410,1,0,,2,0,200000,100000,3,2,32,7,1,2,1,"14,3",1
270,2020,32010,1,0,,2,0,200000,100000,4,2,61,7,1,"1,2",1,"9,1,14",1
271,2020,31130,1,0,,4,0,50000,12500,4,1,19,7,1,"1,11","5,6","9,8",3
272,2020,32060,1,0,,2,0,200000,100000,4,2,27,8,1,"1,2",1,"3,5",3
273,2020,31370,1,0,,3,0,150000,50000,4,2,43,8,1,1,1,"5,4",1
274,2020,31380,1,0,,2,0,100000,50000,4,2,53,8,1,1,1,"5,13,14",1
275,2020,32060,1,0,,3,0,300003,100001,4,1,27,8,1,2,1,"5,3",1
276,2020,"3,203,032,030",2,1,3,4,0,572000,143000,5,1,53,4,1,"1,2,4",1,"5,1,4",1
277,2020,23310,1,2,3,4,0,425000,106250,5,2,45,4,1,"1,2,6",1,"9,4,1",1
279,2020,31130,1,1,2,6,0,97000,97000,4,2,53,4,1,"2,6",1,"2,1,5",3
280,2020,23040,1,0,,2,0,52000,52000,4,2,27,4,1,"1,6",1,"9,5,4",1
281,2020,32010,1,0,,4,2,82000,82000,5,1,46,4,1,"1,2,6",1,"8,5,9",1
282,2020,"390,203,902,039,020",3,2,"3,3",4,2,1150000,287500,5,2,36,4,1,"1,2,15","3,8","1,5,2",1
284,2020,31370,1,0,,2,0,200000,100000,4,1,32,9,1,1,1,"8,1",3
285,2020,31280,1,0,,2,0,150000,75000,3,1,53,9,1,"2,4",1,"14,2,4",1
