,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
6951,2019.0,34020,1,0,0,4.0,0.0,83000.0,,5.0,1,7,7,25,1,1,"2,1,14",3,3.0,,,1.0,,,,,,,,,,,,,,,,34020,,,,,,,,,,,1,,,2,1,14,,,,,,,,,,,,,,
6952,2019.0,34380,1,1,11,4.0,0.0,364000.0,,5.0,2,5,7,25,"1,2",1,"1,2,6","1,3",1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,34380,,,,,,,,,,,1,,,1,2,6,11.0,,,,,,,,,,,,,
6953,2019.0,21090,1,0,0,2.0,0.0,161000.0,,4.0,1,2,11,25,"1,2,6",1,"11,4,8",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,1,,,11,4,8,,,,,,,,,,,,,,
6954,2019.0,31370,1,1,10,4.0,0.0,155000.0,,4.0,2,2,11,25,"1,2,5",1,"2,14,5",3,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,31370,,,,,,,,,,,1,,,2,14,5,10.0,,,,,,,,,,,,,
6955,2019.0,33380,1,0,0,3.0,0.0,143000.0,,4.0,1,3,11,25,"1,2,6",1,"2,5,14",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,33380,,,,,,,,,,,1,,,2,5,14,,,,,,,,,,,,,,
6956,2019.0,"34380,34040",2,"2,0",3,2.0,0.0,749000.0,,4.0,2,5,8,25,"2,6,11",1,"2,8,12",1,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,34380,34040.0,,,,,,,,,,1,,,2,8,12,3.0,3.0,0.0,,,,,,,,,,,
6957,2019.0,"35010,33340",2,"1,0",8,4.0,1.0,410000.0,,4.0,1,4,8,25,"2,12,16",1,"5,12,1",1,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,,35010,33340.0,,,,,,,,,,1,,,5,12,1,8.0,0.0,,,,,,,,,,,,
6958,2019.0,34020,1,0,0,3.0,1.0,81990.0,,4.0,2,4,12,25,"1,2,6",1,"11,4,13",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,11,4,13,,,,,,,,,,,,,,
6959,2019.0,32030,1,1,9,3.0,0.0,495000.0,,4.0,1,2,12,25,"1,2,6,8,16",1,"1,14,2",3,3.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,32030,,,,,,,,,,,1,,,1,14,2,9.0,,,,,,,,,,,,,
6960,2019.0,38050,1,0,0,4.0,0.0,388000.0,,4.0,2,1,12,25,"1,2,5,6,16",1,"1,11,2",1,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,38050,,,,,,,,,,,1,,,1,11,2,,,,,,,,,,,,,,
6961,2019.0,34030,1,0,0,4.0,0.0,240000.0,,4.0,2,2,12,25,"1,2,6,16",1,"2,1,3",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,34030,,,,,,,,,,,1,,,2,1,3,,,,,,,,,,,,,,
6962,2019.0,31010,1,0,0,3.0,0.0,250020.0,,4.0,1,3,12,25,"1,2,4,6,16",1,"5,1,2",3,3.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,31010,,,,,,,,,,,1,,,5,1,2,,,,,,,,,,,,,,
6963,2019.0,34030,1,0,0,4.0,0.0,302000.0,,4.0,2,5,12,25,"1,2,6,16",1,"2,9,1",4,4.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,34030,,,,,,,,,,,1,,,2,9,1,,,,,,,,,,,,,,
6964,2019.0,32030,1,2,3,2.0,0.0,387000.0,,4.0,2,2,1,25,"1,2,6,8",1,"14,2,8",3,3.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,32030,,,,,,,,,,,1,,,14,2,8,3.0,3.0,,,,,,,,,,,,
6965,2019.0,35010,1,0,0,4.0,0.0,89000.0,,4.0,2,5,1,25,"1,2,12",1,"14,10,8",3,3.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,35010,,,,,,,,,,,1,,,14,10,8,,,,,,,,,,,,,,
6966,2019.0,32060,1,2,3,3.0,0.0,618030.0,,4.0,1,2,1,25,"1,2,17",8,"2,14,8",3,3.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,32060,,,,,,,,,,,8,,,2,14,8,3.0,3.0,,,,,,,,,,,,
6967,2019.0,"31220,34030",2,"0,0",,3.0,1.0,320000.0,,4.0,1,3,1,25,"1,2,5",1,"2,14,8",1,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,31220,34030.0,,,,,,,,,,1,,,2,14,8,0.0,0.0,,,,,,,,,,,,
6968,2019.0,31010,1,1,12,4.0,2.0,219000.0,,4.0,2,4,9,25,"1,4,9,16",1,"5,1,4",1,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,31010,,,,,,,,,,,1,,,5,1,4,12.0,,,,,,,,,,,,,
6969,2019.0,21090,1,1,1,2.0,0.0,432000.0,,4.0,1,3,9,25,"2,8,16",1,"8,1,2",3,3.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,21090,,,,,,,,,,,1,,,8,1,2,1.0,,,,,,,,,,,,,
6970,2019.0,34340,1,1,3,6.0,0.0,879980.0,,4.0,1,4,10,25,"1,3,6","1,4","9,5,1",3,3.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,34340,,,,,,,,,,,1,4,,9,5,1,3.0,,,,,,,,,,,,,
6971,2019.0,35360,1,1,3,4.0,2.0,399000.0,,5.0,2,3,10,25,"1,6,16",1,"8,3,2",1,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,35360,,,,,,,,,,,1,,,8,3,2,3.0,,,,,,,,,,,,,
6972,2019.0,35040,1,0,0,30.0,0.0,50000.0,,4.0,2,5,10,25,"1,4","7,8","9,2,4",5,5.0,,,1.0,,,1.0,,,,,,,,,,,,,35040,,,,,,,,,,,7,8,,9,2,4,,,,,,,,,,,,,,
6973,2019.0,31230,1,1,12,4.0,0.0,187000.0,,4.0,2,5,2,25,"1,2,8",1,"11,6",1,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,31230,,,,,,,,,,,1,,,11,6,,12.0,,,,,,,,,,,,,
6975,2019.0,35380,1,0,0,4.0,0.0,250000.0,,5.0,2,5,11,25,"1,2,6",1,"14,8,1",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,35380,,,,,,,,,,,1,,,14,8,1,,,,,,,,,,,,,,
6977,2019.0,32060,1,0,0,4.0,2.0,270000.0,,4.0,1,3,11,25,"1,2,6",1,"2,1,8",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,32060,,,,,,,,,,,1,,,2,1,8,,,,,,,,,,,,,,
6978,2019.0,11190,1,0,0,2.0,0.0,105000.0,,5.0,1,4,3,25,"1,6,9",1,"1,4",1,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,11190,,,,,,,,,,,1,,,1,4,,,,,,,,,,,,,,,
6979,2019.0,34380,1,0,0,2.0,0.0,144000.0,,5.0,1,3,3,25,"1,2,5,6",1,"5,4,1",1,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,34380,,,,,,,,,,,1,,,5,4,1,,,,,,,,,,,,,,
6980,2019.0,35010,1,0,0,4.0,0.0,80000.0,,5.0,2,2,3,25,"1,2,4,6",6,"4,5,1",3,3.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,35010,,,,,,,,,,,6,,,4,5,1,,,,,,,,,,,,,,
6981,2019.0,38370,1,0,0,4.0,0.0,152000.0,,4.0,2,6,4,25,"1,2,11",1,"2,4,8",3,3.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,38370,,,,,,,,,,,1,,,2,4,8,,,,,,,,,,,,,,
6982,2019.0,32030,1,0,0,4.0,0.0,195000.0,,4.0,2,5,4,25,"1,2,16",1,"5,4,2",3,3.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,32030,,,,,,,,,,,1,,,5,4,2,,,,,,,,,,,,,,
6983,2019.0,34310,1,0,0,4.0,0.0,389990.0,,4.0,1,5,5,25,"1,2,6,8",1,"2,7,8",1,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,34310,,,,,,,,,,,1,,,2,7,8,,,,,,,,,,,,,,
6984,2019.0,34020,1,0,0,2.0,0.0,57400.0,,4.0,2,5,5,25,"1,2,6",1,"4,1,14",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,4,1,14,,,,,,,,,,,,,,
6985,2019.0,35020,1,0,0,3.0,1.0,238020.0,,4.0,1,4,5,25,"1,2,8,16",1,"9,4,13",1,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,35020,,,,,,,,,,,1,,,9,4,13,,,,,,,,,,,,,,
6986,2019.0,34380,1,0,0,2.0,0.0,151400.0,,4.0,2,3,5,25,"1,2,6,11",1,"1,2",1,1.0,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,34380,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,,,,
6987,2019.0,"39020,39010",2,2,4,4.0,0.0,698000.0,,4.0,2,6,5,25,"1,2,5,6,16","3,1","12,11,2",3,3.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,39020,39010.0,,,,,,,,,,3,1,,12,11,2,4.0,4.0,,,,,,,,,,,,
6988,2019.0,36310,1,0,0,4.0,0.0,278000.0,,4.0,2,2,5,25,"1,2,6,16",1,1,3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,36310,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
6989,2019.0,34370,1,0,0,3.0,1.0,142010.0,,4.0,1,3,6,25,"1,2",1,"2,8",1,1.0,,,1.0,1.0,,,,,,,,,,,,,,,34370,,,,,,,,,,,1,,,2,8,,,,,,,,,,,,,,,
6990,2019.0,35010,1,1,1,2.0,0.0,223000.0,,4.0,2,2,7,25,"1,2,6,17","6,10","8,4,3",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,35010,,,,,,,,,,,6,10,,8,4,3,1.0,,,,,,,,,,,,,
6991,2019.0,35020,1,0,0,3.0,0.0,256980.0,,4.0,2,6,7,25,"1,2,6,16",1,"4,11,3",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,35020,,,,,,,,,,,1,,,4,11,3,,,,,,,,,,,,,,
6992,2019.0,34340,1,0,0,4.0,0.0,360000.0,,4.0,2,7,7,25,"1,2,6,8",1,"11,7,3",1,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,34340,,,,,,,,,,,1,,,11,7,3,,,,,,,,,,,,,,
6993,2019.0,34020,1,0,0,3.0,0.0,189990.0,,4.0,2,4,7,25,"1,2,6",1,"1,11,2",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,1,11,2,,,,,,,,,,,,,,
6994,2019.0,34030,1,0,0,4.0,0.0,300000.0,,4.0,1,4,7,25,"1,2,3,6,16",1,"5,4,2",1,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,34030,,,,,,,,,,,1,,,5,4,2,,,,,,,,,,,,,,
6995,2019.0,34030,1,2,4,3.0,0.0,869970.0,,4.0,2,3,7,25,"1,2,3,6",1,"5,1,4",3,3.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,34030,,,,,,,,,,,1,,,5,1,4,4.0,4.0,,,,,,,,,,,,
6996,2019.0,34340,1,0,0,4.0,0.0,297000.0,,4.0,2,7,12,25,"2,9",1,"9,8,14",1,1.0,,,,1.0,,,,,,,1.0,,,,,,,,34340,,,,,,,,,,,1,,,9,8,14,,,,,,,,,,,,,,
6997,2019.0,35330,1,1,4,3.0,0.0,640020.0,,4.0,1,2,12,25,"3,6",1,"3,14,4",3,3.0,,,,,1.0,,,1.0,,,,,,,,,,,35330,,,,,,,,,,,1,,,3,14,4,4.0,,,,,,,,,,,,,
6998,2019.0,32340,1,1,4,2.0,0.0,610000.0,,4.0,1,3,12,25,"1,3,6",1,"15,14,6",1,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,32340,,,,,,,,,,,1,,,15,14,6,4.0,,,,,,,,,,,,,
6999,2019.0,"35020,35010",2,1,8,2.0,0.0,405000.0,,4.0,1,5,12,25,"1,15",1,"14,1,8",1,1.0,,,1.0,,,,,,,,,,,,,1.0,,,35020,35010.0,,,,,,,,,,1,,,14,1,8,8.0,,,,,,,,,,,,,
7000,2019.0,37010,1,0,0,4.0,0.0,500000.0,,4.0,1,5,1,25,"1,2,6",1,"4,2,1",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,37010,,,,,,,,,,,1,,,4,2,1,,,,,,,,,,,,,,
7001,2019.0,35330,1,0,0,3.0,1.0,131010.0,,4.0,2,3,1,25,"1,2,6",1,"4,12,1",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,35330,,,,,,,,,,,1,,,4,12,1,,,,,,,,,,,,,,
