,year,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,no_of_place,sleepnights_1,sleepnights_2,sleepnights_3,sleepnights_4,sleepnights_5,sleepnights_6,sleepnights_7,sleepnights_8,accommodation_1,accommodation_2,accommodation_3,number_of_ppl,number_of_children,cost_total_trip,satisfied,sex,age,month,living_area,transportation1,transportation2,transportation3,reason1,reason2,reason3,relationship1,relationship2,relationship3,target
30,2018,31270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,78048,4,2,36,12,11,1,0,0,10,14,8,1,0,0,엑티비티
31,2018,38110,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,129814,4,1,20,4,11,6,5,0,2,5,0,3,0,0,"힐링,호캉스"
32,2018,32010,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6,0,74128,4,2,24,10,11,2,5,0,9,6,3,3,0,0,"힐링,호캉스"
33,2018,32010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,44680,4,1,28,10,11,2,5,0,5,12,0,3,0,0,"힐링,호캉스"
34,2018,35010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,60000,4,2,46,7,11,1,0,0,9,8,3,3,0,0,"축제,관광"
35,2018,32010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,97000,4,1,28,5,11,5,10,0,5,9,3,3,0,0,"식도락,맛집투어"
36,2018,32030,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,5,0,185000,4,1,47,1,11,1,0,0,2,11,4,4,0,0,"힐링,호캉스"
37,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,45000,4,2,37,1,11,1,0,0,8,5,14,1,2,0,"식도락,맛집투어"
38,2018,32330,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11,5,94736,4,2,31,8,11,1,0,0,9,2,5,1,2,0,"힐링,호캉스"
39,2018,31270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,50000,4,1,61,8,11,2,5,0,4,2,0,3,0,0,"힐링,호캉스"
40,2018,34380,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,10,2,178909,4,1,40,8,11,1,0,0,1,3,6,1,0,0,"힐링,호캉스"
41,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,120000,4,1,16,8,11,6,0,0,11,0,0,3,0,0,엑티비티
42,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,90000,4,2,56,8,11,1,0,0,5,1,14,3,0,0,"힐링,호캉스"
43,2018,31240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,40000,3,1,48,5,11,1,0,0,8,14,0,3,0,0,"식도락,맛집투어"
44,2018,31270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,20000,3,2,38,6,11,1,0,0,1,8,4,1,0,0,"식도락,맛집투어"
45,2018,32010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,21000,4,1,72,5,11,5,0,0,9,14,0,3,0,0,"힐링,호캉스"
46,2018,37010,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,200000,4,1,28,12,11,1,0,0,11,8,9,3,0,0,엑티비티
47,2018,31080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10000,4,2,59,6,11,5,0,0,14,4,5,3,0,0,엑티비티
48,2018,32340,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,8,2,180226,5,1,36,2,11,1,0,0,1,12,9,1,2,0,엑티비티
49,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,91666,4,2,19,5,11,6,0,0,9,4,0,3,0,0,엑티비티
50,2018,21090,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,5,0,184818,4,1,31,7,11,1,0,0,1,2,0,3,0,0,"힐링,호캉스"
51,2018,32390,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,100000,4,1,36,10,11,1,0,0,14,2,12,3,0,0,"힐링,호캉스"
52,2018,38370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,14864,4,1,55,10,11,7,8,0,12,11,14,3,0,0,"힐링,호캉스"
53,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,100000,4,1,18,7,11,2,5,6,10,4,0,3,0,0,엑티비티
54,2018,31130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,40000,4,1,66,3,11,1,0,0,8,5,4,1,2,0,"식도락,맛집투어"
55,2018,34010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,50000,4,2,41,8,11,1,0,0,11,9,4,1,0,0,"힐링,호캉스"
56,2018,23040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,30000,4,1,32,12,11,1,0,0,8,4,11,3,0,0,"식도락,맛집투어"
57,2018,34020,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,71111,4,2,38,10,11,1,0,0,11,6,4,1,0,0,"축제,관광"
58,2018,31230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,20000,4,1,37,11,11,1,0,0,11,4,14,1,0,0,"힐링,호캉스"
59,2018,31090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,90000,4,1,43,10,11,1,0,0,10,0,0,1,0,0,엑티비티
60,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,30000,4,2,60,10,11,7,0,0,11,0,0,5,0,0,"힐링,호캉스"
61,2018,32350,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,119293,5,2,27,12,11,1,0,0,1,11,4,3,0,0,엑티비티
62,2018,32010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,104000,4,2,35,3,11,2,5,8,14,5,9,3,0,0,"힐링,호캉스"
63,2018,31240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,34146,4,2,51,12,11,1,0,0,14,3,5,1,0,0,"힐링,호캉스"
64,2018,31090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,56603,4,2,63,7,11,1,0,0,3,1,5,1,0,0,"힐링,호캉스"
65,2018,31090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,78313,4,1,73,11,11,1,0,0,3,8,0,1,0,0,"힐링,호캉스"
