,place_info,area,target
109,보대소류지,경상남도 고성군,"힐링, 호캉스"
110,노이짓골소류지,경상남도 합천군,"힐링, 호캉스"
111,둥독못,경상북도 의성군,"힐링, 호캉스"
112,두남소류지,경상남도 사천시,"힐링, 호캉스"
113,유마사,전라남도 화순군,"축제, 관광"
114,안정사,경상남도 통영시,"축제, 관광"
115,옥천암,서울특별시 서대문구,"힐링, 호캉스"
116,염불암,경기도 안양시,"축제, 관광"
117,향엄사,충청북도 영동군,"힐링, 호캉스"
118,용연사,경상북도 포항시,"힐링, 호캉스"
119,용화사,경상남도 함안군,"힐링, 호캉스"
120,금강사,경상남도 창원시,"힐링, 호캉스"
121,청명사,전라남도 목포시,"힐링, 호캉스"
122,석가사,대구광역시 수성구,"힐링, 호캉스"
123,만지못,경상남도 의령군,"힐링, 호캉스"
124,흥부암,경상남도 김해시,"힐링, 호캉스"
125,충의사,경상북도 상주시,"힐링, 호캉스"
126,덕흥사,제주특별자치도 제주시,"힐링, 호캉스"
127,성불사,경상북도 경주시,"힐링, 호캉스"
128,삼봉사,경기도 안성시,"힐링, 호캉스"
129,삼원사,경상북도 경주시,"힐링, 호캉스"
130,관음사,경상북도 영주시,"힐링, 호캉스"
131,지장사,부산광역시 남구,"힐링, 호캉스"
132,대방사,경상남도 사천시,"힐링, 호캉스"
133,원효사,경상북도 경주시,"힐링, 호캉스"
134,인월사,강원도 강릉시,"힐링, 호캉스"
135,운봉서각공예,충청북도 보은군,"식도락, 맛집투어"
136,곱창골목,서울특별시 중구,"식도락, 맛집투어"
137,명동화교거리,서울특별시 중구,"힐링, 호캉스"
138,금강선원,강원도 양양군,"힐링, 호캉스"
139,반송삼절사,부산광역시 해운대구,"힐링, 호캉스"
140,약천사,강원도 홍천군,"힐링, 호캉스"
141,현암사,강원도 원주시,"힐링, 호캉스"
142,흥복사,강원도 태백시,"힐링, 호캉스"
143,이호테우해수욕장,제주특별자치도 제주시,액티비티
144,서망해수욕장,전라남도 진도군,액티비티
145,백리포해수욕장,충청남도 태안군,액티비티
146,경주보문관광단지,경상북도 경주시,"축제, 관광"
147,오월드,대전광역시 중구,"축제, 관광"
148,세계꽃식물원,충청남도 아산시,"축제, 관광"
149,태백고원자연휴양림,강원도 태백시,"축제, 관광"
150,용대자연휴양림,강원도 인제군,"축제, 관광"
151,대흥사계곡,전라남도 해남군,액티비티
152,무지치폭포,경기도 포천시,액티비티
153,상계폭포,경상북도 영양군,액티비티
154,수타사계곡,강원도 홍천군,액티비티
155,왕피천계곡,경상북도 울진군,액티비티
156,원효계곡,광주광역시 북구,액티비티
157,노봉서원,경상북도 예천군,"축제, 관광"
158,파산서원,경기도 파주시,"축제, 관광"
159,죽도공원,부산광역시 해운대구,액티비티
160,순천만습지,전라남도 순천시,"힐링, 호캉스"
161,용두암공원용두암,제주특별자치도 제주시,"축제, 관광"
162,조금나루유원지,전라남도 무안군,"축제, 관광"
163,치산관광온천랜드,경상북도 영천시,"축제, 관광"
164,불지사,경상북도 영천시,"힐링, 호캉스"
165,청량사,서울특별시 동대문구,"힐링, 호캉스"
166,대원사,전라남도 보성군,"힐링, 호캉스"
167,대관령,강원도 평창군,"힐링, 호캉스"
168,동춘당문화제,대전광역시 대덕구,"축제, 관광"
169,우어관광농원,전라남도 영암군,액티비티
170,삼흥관광농원,충청북도 진천군,액티비티
171,여주관광농원,경기도 여주시,액티비티
172,보리사,경상북도 청송군,"힐링, 호캉스"
173,수암사,충청남도 아산시,"힐링, 호캉스"
174,선적사,경상북도 울진군,"힐링, 호캉스"
175,문수사,경상북도 영양군,"힐링, 호캉스"
176,죽청사,경상북도 울진군,"힐링, 호캉스"
