title,brand,percent,price
COME AWAY WITH ME,박수진,19%,16500
LILY LILY [EP],권여름,19%,17500
사계(SEASONS) [EP],건우,19%,22000
시샘달 PART.1 [정규 1집],SWAN(수안),19%,12500
사람 마음,김민성,20%,24000
ABOUT [EP],ACHII(에이치),20%,24000
THE REVE FESTIVAL 2022: FEEL MY RHYTHM [ORGEL VER] [미니 CD],RED VELVET(레드벨벳),19%,40000
THE REVE FESTIVAL 2022: FEEL MY RHYTHM [REVE VER],RED VELVET(레드벨벳),19%,20000
HISTORY OF KINGDOM: PART Ⅳ. DANN [2종 세트],KINGDOM(킹덤),19%,20000
HISTORY OF KINGDOM: PART Ⅳ. DANN [SHADOW VER],KINGDOM(킹덤),19%,22000
HISTORY OF KINGDOM: PART Ⅳ. DANN [GLORY VER],KINGDOM(킹덤),19%,66000
PART.1: FIRST LOVE [미니 4집] [LOVE WITH RUI VER],WEI(위아이),19%,22000
PART.1: FIRST LOVE [미니 4집] [3종 세트],WEI(위아이),19%,22000
PART.1: FIRST LOVE [미니 4집] [FALLING IN LOVE VER],WEI(위아이),19%,44000
PART.1: FIRST LOVE [미니 4집],WEI(위아이),19%,22000
DIMENSION [미니 3집] [2종 세트],김준수,19%,22000
DIMENSION [미니 3집] [I VER],김준수,18%,17500
DIMENSION [미니 3집] [O VER],김준수,19%,23000
KOREAN BREATH: 만파 [萬波],SE:UM(세움),19%,22000
NEEDLE & BUBBLE [THE BEST ALBUM],NU`EST(뉴이스트),19%,44000
GLITCH MODE [정규 2집] [PHOTOBOOK VER],NCT DREAM(엔시티 드림),19%,22000
容: FACE [미니 1집] [2종 세트],SOLAR(솔라),20%,16500
容: FACE [미니 1집] [FACE VER],SOLAR(솔라),19%,22000
LOVE IN BLOOM,ILY:1(아일리원),19%,55000
容: FACE [미니 1집] [PERSONA VER],SOLAR(솔라),20%,19500
CONSPIRACY [베이비 핑크 180G LP],COMMON GROUND(커먼그라운드),20%,13000
ALWAYS HERE,SHINJI(신지),19%,23000
PLAY GAME: AWAKE [PLATFORM ALBUM VER] [싱글 1집],WEEEKLY(위클리),19%,69000
I NEVER DIE [정규 1집] [3종 중 랜덤 1종],(G)I-DLE((여자)아이들),19%,55000
I NEVER DIE [정규 1집] [3종 세트],(G)I-DLE((여자)아이들),19%,80000
BEST [180G LP],이정선,20%,24000
GO! BOOGIE! [180G LP],TURTLES(거북이),19%,22000
BEST 20 [USB],박창근,19%,22000
BEST 20,박창근,20%,48000
REVE [3RD DESIRE] [BIBBIDI VER],김우석,20%,24000
REVE [3RD DESIRE] [BOBBIDI VER],김우석,20%,24000
REFUGE [미니 2집] [2종 세트],문빈 & 산하(ASTRO),19%,20000
REVE [3RD DESIRE] [키트],김우석,18%,14500
REFUGE [미니 2집] [2종 중 랜덤 1종],문빈 & 산하(ASTRO),19%,33000
공중부양 [EP],장기하,19%,16500
FIRST LETTER [미니 1집],솔지,19%,16500
Play Game: AWAKE [싱글 1집] [2종 세트],WEEEKLY(위클리),20%,19500
Play Game: AWAKE [싱글 1집] [Real Self VER],WEEEKLY(위클리),20%,39000
Play Game: AWAKE [싱글 1집] [Myself VER],WEEEKLY(위클리),20%,19500
CHERRY WISH [미니 2집] [2종 중 랜덤 1종],CHERRY BULLET(체리블렛),19%,12000
CHERRY WISH [미니 2집] [2종 세트],CHERRY BULLET(체리블렛),19%,12000
YELLOW PUNCH [미니 4집],ROCKET PUNCH(로켓펀치),19%,12000
스테레오힛트총결산: 참사랑/빗속의 연가 [180G 그린 LP],김상희,17%,18000
THE ROAD: WINTER FOR SPRING [스페셜 싱글] [C VER],SUPER JUNIOR(슈퍼주니어),18%,14500
THE ROAD: WINTER FOR SPRING [스페셜 싱글] [B VER],SUPER JUNIOR(슈퍼주니어),12%,54000
THE ROAD: WINTER FOR SPRING [스페셜 싱글] [A VER],SUPER JUNIOR(슈퍼주니어),20%,13000
NEW START [미니 1집],BLACK LEVEL(블랙레벨),19%,22000
YOUNG-LUV.COM [미니 2집] [JEWEL CASE VER] [6종 중 랜덤 1종],STAYC(스테이씨),19%,22000
바람같은 날을 살다가 [180G 퍼플 LP],JEONG MI JO(정미조),19%,16500
AD MARE [싱글 1집] [LIGHT VER],NMIXX(엔믹스),19%,20000
2 [EP ALBUM],BANG YONGGUK(방용국),19%,16500
상실의 시대,노르웨이 숲,19%,20000
마음은 따끔,노르웨이 숲,19%,17500
사람이 사람을 좋아하는 건 [소품집],노르웨이 숲,19%,17500
혼자 있는 밤 [정규 1집],노르웨이 숲,19%,23000
ODDINARY [MINI ALBUM] [SCANNING/ MASK OFF VER] [일반반],STRAY KIDS(스트레이 키즈),17%,18000
THE COLLECTIVE SOUL AND UNCONSCIOUS: CHAPTER ONE [미니 2집] [SOUL VER],BILLLIE(빌리),19%,55000
THE COLLECTIVE SOUL AND UNCONSCIOUS: CHAPTER ONE [미니 2집] [UNCONSCIOUS VER],BILLLIE(빌리),19%,48500
DANCE WITH GOD [미니 2집],CRAXY(크랙시),19%,20000
POST POST POST!,JOSEE(조제),19%,33000
수몰 [140G 투명 브릴리언트 블루 LP],천용성,20%,48000
NATURAL [LP],G.SOUL(지소울),20%,24000
JTRAP [미니 1집],JWIIVER(제이위버),18%,14500
YEARBOOK 2021,015B(공일오비),19%,21000
YOUNG-LUV.COM [미니 2집] [2종 세트],STAYC(스테이씨),19%,42000
YOUNG-LUV.COM [미니 2집] [2종 중 랜덤 1종],STAYC(스테이씨),19%,22000
IT`S ME IT`S WE [미니 1집] [DIGIPACK VER],TEMPEST(템페스트),17%,18000
IT`S ME IT`S WE [미니 1집],TEMPEST(템페스트),19%,23000
IT`S ME IT`S WE [미니 1집] [2종 세트],TEMPEST(템페스트),0,0
LOVENDER [미니 1집],한승윤,0,0
BORN (本) [정규 6집],BIG MAMA(빅마마),0,0
